white,elo_white,black,elo_black,result,opening,cadence,date,tournament,city
MAMEDYAROV Shakhriyar,2738,GUICHARD Pauline,2357,X - X,Petrov Defense,classical,2020-10-08,Candidates,Madrid
SO Wesley,2747,ERIGAISI Arjun,2799,1 - 0,Caro-Kann Defense,classical,2020-03-01,Isle of Man Open,Douglas
HEJAZIPOUR Mitra,2309,NAKAMURA Hikaru,2802,1 - 0,Reti Opening,rapid,2020-03-01,Grand Chess Tour Croatia,Zagreb
DOMINGUEZ PEREZ Leinier,2741,VAISHALI Rameshbabu,2490,X - X,Petrov Defense,classical,2020-09-23,Sinquefield Cup,Saint Louis
LAGARDE Maxime,2606,PRAGGNANANDHAA R,2737,X - X,Semi-Slav Defense,classical,2020-06-17,Sinquefield Cup,Saint Louis
GUICHARD Pauline,2357,ABDUSATTOROV Nodirbek,2777,1 - 0,Scandinavian Defense,classical,2020-11-09,Tata Steel,Wijk aan Zee
NIEMANN Hans Moke,2734,MOUSSARD Jules,2600,X - X,King's Indian Defense,rapid,2020-11-18,Grand Chess Tour Croatia,Zagreb
JU Wenjun,2563,KONERU Humpy,2530,X - X,Sicilian Defense,classical,2020-03-12,Tata Steel,Wijk aan Zee
FIROUZJA Alireza,2763,LE Quang Liem,2739,0 - 1,English Opening,classical,2020-10-19,Sinquefield Cup,Saint Louis
KRAMNIK Vladimir,2810,GUKESH D,2783,X - X,Berlin Defense,rapid,2020-03-01,Grand Chess Tour Croatia,Zagreb
DAULYTE-CORNETTE Deimante,2371,VIDIT Santosh Gujrathi,2739,X - X,Scandinavian Defense,classical,2020-12-13,World Cup,Baku
SO Wesley,2747,SAVINA Anastasia,2324,0 - 1,Pirc Defense,classical,2020-10-30,Sinquefield Cup,Saint Louis
MUZYCHUK Anna,2515,NAKAMURA Hikaru,2802,X - X,King's Indian Defense,rapid,2020-04-11,Grand Chess Tour Croatia,Zagreb
KASPAROV Garry,2850,ABDUSATTOROV Nodirbek,2777,0 - 1,Alekhine Defense,classical,2020-11-10,Candidates,Madrid
CARUANA Fabiano,2805,KONERU Humpy,2530,1 - 0,Petrov Defense,classical,2020-02-15,Sinquefield Cup,Saint Louis
NAVROTESCU Andreea,2338,VIDIT Santosh Gujrathi,2739,X - X,Ruy Lopez,classical,2020-11-28,Candidates,Madrid
MOUSSARD Jules,2600,SCHIPPKE Manon,2272,1 - 0,Alekhine Defense,classical,2020-05-14,Isle of Man Open,Douglas
KASHLINSKAYA Alina,2493,GUICHARD Pauline,2357,1 - 0,London System,classical,2020-09-18,Tata Steel,Wijk aan Zee
ABDUSATTOROV Nodirbek,2777,NIEMANN Hans Moke,2734,X - X,Queen's Gambit Accepted,classical,2020-12-16,Tata Steel,Wijk aan Zee
VIDIT Santosh Gujrathi,2739,MAMEDYAROV Shakhriyar,2738,0 - 1,English Opening,blitz,2020-10-14,Titled Tuesday,NA
KEYMER Vincent,2733,VACHIER-LAGRAVE Maxime,2737,1 - 0,Italian Game,classical,2020-05-17,Tata Steel,Wijk aan Zee
ABDUSATTOROV Nodirbek,2777,SCHIPPKE Manon,2272,X - X,Alekhine Defense,rapid,2020-06-11,World Rapid Championship,Samarkand
HEJAZIPOUR Mitra,2309,ERIGAISI Arjun,2799,X - X,Semi-Slav Defense,blitz,2020-11-24,Titled Tuesday,NA
IGLESIAS Yosha,2296,FIROUZJA Alireza,2763,1 - 0,Alekhine Defense,classical,2020-11-14,Tata Steel,Wijk aan Zee
DAULYTE-CORNETTE Deimante,2371,FIROUZJA Alireza,2763,X - X,King's Indian Defense,classical,2020-06-28,Sinquefield Cup,Saint Louis
VACHIER-LAGRAVE Maxime,2737,LEI Tingjie,2549,1 - 0,Grunfeld Defense,classical,2020-05-04,Tata Steel,Wijk aan Zee
GUKESH D,2783,GIRI Anish,2733,1 - 0,Catalan Opening,classical,2020-08-30,Candidates,Madrid
SAVINA Anastasia,2324,VAISHALI Rameshbabu,2490,X - X,Pirc Defense,classical,2020-04-10,Candidates,Madrid
POLGAR Judith,2732,VIDIT Santosh Gujrathi,2739,0 - 1,Scotch Game,rapid,2020-11-19,Grand Chess Tour Croatia,Zagreb
SO Wesley,2747,TAN Zhongyi,2551,1 - 0,Vienna Game,classical,2020-11-26,Tata Steel,Wijk aan Zee
GUICHARD Pauline,2357,NIEMANN Hans Moke,2734,X - X,Scotch Game,classical,2020-11-13,Candidates,Madrid
SAVINA Anastasia,2324,HEJAZIPOUR Mitra,2309,X - X,Reti Opening,blitz,2020-12-05,Titled Tuesday,NA
ASSAUBAYEVA Bibisara,2488,DING Liren,2728,X - X,Nimzo-Indian Defense,classical,2020-09-02,Tata Steel,Wijk aan Zee
GORYACHKINA Aleksandra,2528,MUZYCHUK Anna,2515,X - X,Nimzo-Indian Defense,classical,2020-09-05,Sinquefield Cup,Saint Louis
IGLESIAS Yosha,2296,MUZYCHUK Anna,2515,X - X,Sicilian Defense,classical,2020-06-25,Sinquefield Cup,Saint Louis
KRAMNIK Vladimir,2810,NAKAMURA Hikaru,2802,X - X,Vienna Game,classical,2020-06-19,Norway Chess,Stavanger
SEBAG Marie,2448,LAGNO Kateryna,2527,1 - 0,Larsen Opening,rapid,2020-08-24,World Rapid Championship,Samarkand
DUDA Jan-Krzysztof,2740,MILLIET Sophie,2366,X - X,Alekhine Defense,rapid,2020-12-22,Grand Chess Tour Croatia,Zagreb
KASPAROV Garry,2850,MOUSSARD Jules,2600,X - X,Alekhine Defense,rapid,2020-04-06,Grand Chess Tour Croatia,Zagreb
KONERU Humpy,2530,CARUANA Fabiano,2805,1 - 0,Alekhine Defense,classical,2020-10-10,Candidates,Madrid
KEYMER Vincent,2733,BACROT Etienne,2653,0 - 1,English Opening,classical,2020-04-11,Candidates,Madrid
NAVROTESCU Andreea,2338,VAISHALI Rameshbabu,2490,1 - 0,Alekhine Defense,classical,2020-09-12,Candidates,Madrid
ZHU Jiner,2514,IGLESIAS Yosha,2296,X - X,French Defense,classical,2020-06-14,Tata Steel,Wijk aan Zee
PRAGGNANANDHAA R,2737,JU Wenjun,2563,X - X,King's Indian Defense,classical,2020-10-12,Tata Steel,Wijk aan Zee
GIRI Anish,2733,NAVROTESCU Andreea,2338,X - X,Larsen Opening,blitz,2020-10-06,Titled Tuesday,NA
KRAMNIK Vladimir,2810,KASPAROV Garry,2850,X - X,Sicilian Defense,classical,2020-10-19,Sinquefield Cup,Saint Louis
IGLESIAS Yosha,2296,NEPOMNIACHTCHI Ian,2755,1 - 0,English Opening,classical,2020-01-28,Tata Steel,Wijk aan Zee
ARONIAN Levon,2739,LEI Tingjie,2549,1 - 0,Sicilian Defense,rapid,2020-07-13,World Rapid Championship,Samarkand
VACHIER-LAGRAVE Maxime,2737,DZAGNIDZE Nana,2518,X - X,Pirc Defense,classical,2020-01-21,Sinquefield Cup,Saint Louis
CARUANA Fabiano,2805,ARONIAN Levon,2739,1 - 0,Sicilian Defense,rapid,2020-03-19,Grand Chess Tour Croatia,Zagreb
SKRIPCHENKO Almira,2361,KASHLINSKAYA Alina,2493,X - X,Larsen Opening,rapid,2020-09-18,Grand Chess Tour Croatia,Zagreb
TAN Zhongyi,2551,MUZYCHUK Mariya,2505,X - X,Semi-Slav Defense,classical,2020-10-16,World Cup,Baku
SAVINA Anastasia,2324,FRESSINET Laurent,2605,X - X,Larsen Opening,classical,2020-09-05,Isle of Man Open,Douglas
CARLSEN Magnus,2831,GUICHARD Pauline,2357,X - X,English Opening,classical,2020-08-08,Tata Steel,Wijk aan Zee
CARLSEN Magnus,2831,GIRI Anish,2733,1 - 0,Larsen Opening,classical,2020-12-27,World Cup,Baku
HEJAZIPOUR Mitra,2309,KONERU Humpy,2530,1 - 0,Grunfeld Defense,classical,2020-01-05,Candidates,Madrid
BACROT Etienne,2653,MUZYCHUK Mariya,2505,1 - 0,Scandinavian Defense,rapid,2020-04-02,Grand Chess Tour Croatia,Zagreb
WEI Yi,2753,ZHU Jiner,2514,X - X,Reti Opening,classical,2020-01-13,Sinquefield Cup,Saint Louis
FIROUZJA Alireza,2763,TAN Zhongyi,2551,X - X,Grunfeld Defense,rapid,2020-03-14,Grand Chess Tour Croatia,Zagreb
ASSAUBAYEVA Bibisara,2488,HOU Yifan,2633,1 - 0,Grunfeld Defense,classical,2020-10-14,Tata Steel,Wijk aan Zee
FRESSINET Laurent,2605,NAKAMURA Hikaru,2802,X - X,Vienna Game,blitz,2020-09-01,Titled Tuesday,NA
WEI Yi,2753,DZAGNIDZE Nana,2518,1 - 0,Queen's Gambit Accepted,classical,2020-07-31,Candidates,Madrid
NEPOMNIACHTCHI Ian,2755,DOMINGUEZ PEREZ Leinier,2741,1 - 0,Reti Opening,blitz,2020-12-17,World Blitz Championship,Dubai
GIRI Anish,2733,NIEMANN Hans Moke,2734,X - X,French Defense,classical,2020-07-20,Tata Steel,Wijk aan Zee
SHUVALOVA Polina,2495,ZHU Jiner,2514,X - X,Sicilian Defense,blitz,2020-06-12,Titled Tuesday,NA
NEPOMNIACHTCHI Ian,2755,GORYACHKINA Aleksandra,2528,1 - 0,Scandinavian Defense,classical,2020-10-17,Sinquefield Cup,Saint Louis
MUZYCHUK Mariya,2505,KASHLINSKAYA Alina,2493,1 - 0,Caro-Kann Defense,classical,2020-09-18,Sinquefield Cup,Saint Louis
TAN Zhongyi,2551,MAMEDYAROV Shakhriyar,2738,1 - 0,Reti Opening,classical,2020-04-18,World Cup,Baku
HOU Yifan,2633,ANAND Viswanathan,2750,X - X,London System,classical,2020-01-19,Candidates,Madrid
DAULYTE-CORNETTE Deimante,2371,CARUANA Fabiano,2805,1 - 0,Dutch Defense,blitz,2020-06-19,World Blitz Championship,Dubai
LE Quang Liem,2739,DZAGNIDZE Nana,2518,X - X,French Defense,classical,2020-05-30,Norway Chess,Stavanger
SO Wesley,2747,DING Liren,2728,X - X,French Defense,classical,2020-11-04,Candidates,Madrid
ERIGAISI Arjun,2799,KEYMER Vincent,2733,X - X,Nimzo-Indian Defense,classical,2020-09-16,Tata Steel,Wijk aan Zee
NEPOMNIACHTCHI Ian,2755,KONERU Humpy,2530,X - X,Nimzo-Indian Defense,rapid,2020-07-07,World Rapid Championship,Samarkand
MILLIET Sophie,2366,VAISHALI Rameshbabu,2490,X - X,Ruy Lopez,classical,2020-05-04,Tata Steel,Wijk aan Zee
SHUVALOVA Polina,2495,NAVROTESCU Andreea,2338,X - X,Pirc Defense,classical,2020-06-27,Sinquefield Cup,Saint Louis
NEPOMNIACHTCHI Ian,2755,POLGAR Judith,2732,1 - 0,Scotch Game,classical,2020-03-16,Sinquefield Cup,Saint Louis
ERIGAISI Arjun,2799,FRESSINET Laurent,2605,X - X,Italian Game,classical,2020-06-14,World Cup,Baku
KASHLINSKAYA Alina,2493,HEJAZIPOUR Mitra,2309,0 - 1,English Opening,classical,2020-07-10,Tata Steel,Wijk aan Zee
KASPAROV Garry,2850,SO Wesley,2747,1 - 0,Vienna Game,classical,2020-02-22,Candidates,Madrid
PRAGGNANANDHAA R,2737,GUICHARD Pauline,2357,0 - 1,Grunfeld Defense,classical,2020-01-02,Norway Chess,Stavanger
GIRI Anish,2733,NIEMANN Hans Moke,2734,X - X,Berlin Defense,blitz,2020-01-11,Titled Tuesday,NA
MUZYCHUK Anna,2515,ABDUSATTOROV Nodirbek,2777,X - X,King's Indian Defense,classical,2020-10-19,Candidates,Madrid
SEBAG Marie,2448,SKRIPCHENKO Almira,2361,0 - 1,English Opening,classical,2020-06-22,Isle of Man Open,Douglas
SAVINA Anastasia,2324,KEYMER Vincent,2733,0 - 1,French Defense,blitz,2020-11-11,World Blitz Championship,Dubai
DOMINGUEZ PEREZ Leinier,2741,SEBAG Marie,2448,X - X,French Defense,classical,2020-08-14,World Cup,Baku
MUZYCHUK Mariya,2505,POLGAR Judith,2732,0 - 1,Catalan Opening,classical,2020-09-01,Tata Steel,Wijk aan Zee
GIRI Anish,2733,DOMINGUEZ PEREZ Leinier,2741,X - X,Grunfeld Defense,classical,2020-12-10,Norway Chess,Stavanger
HOU Yifan,2633,LEI Tingjie,2549,X - X,Nimzo-Indian Defense,rapid,2020-09-25,Grand Chess Tour Croatia,Zagreb
LAGARDE Maxime,2606,SHUVALOVA Polina,2495,0 - 1,French Defense,rapid,2020-06-05,Grand Chess Tour Croatia,Zagreb
NAVROTESCU Andreea,2338,DOMINGUEZ PEREZ Leinier,2741,X - X,London System,classical,2020-03-28,Sinquefield Cup,Saint Louis
LAGNO Kateryna,2527,IGLESIAS Yosha,2296,X - X,Nimzo-Indian Defense,rapid,2020-07-16,Grand Chess Tour Croatia,Zagreb
DZAGNIDZE Nana,2518,JU Wenjun,2563,1 - 0,Berlin Defense,classical,2020-09-24,Tata Steel,Wijk aan Zee
GUKESH D,2783,SCHIPPKE Manon,2272,X - X,French Defense,classical,2020-01-21,Sinquefield Cup,Saint Louis
DOMINGUEZ PEREZ Leinier,2741,ERIGAISI Arjun,2799,X - X,Scandinavian Defense,classical,2020-08-22,Tata Steel,Wijk aan Zee
NEPOMNIACHTCHI Ian,2755,ERIGAISI Arjun,2799,X - X,Ruy Lopez,rapid,2020-08-26,Grand Chess Tour Croatia,Zagreb
KASHLINSKAYA Alina,2493,FRESSINET Laurent,2605,X - X,Dutch Defense,blitz,2020-06-12,Titled Tuesday,NA
SEBAG Marie,2448,NIEMANN Hans Moke,2734,X - X,Sicilian Defense,classical,2020-01-04,Norway Chess,Stavanger
KRAMNIK Vladimir,2810,KOSTENIUK Alexandra,2487,X - X,Vienna Game,classical,2020-01-05,Candidates,Madrid
DING Liren,2728,SO Wesley,2747,X - X,Catalan Opening,classical,2020-12-20,Tata Steel,Wijk aan Zee
MOUSSARD Jules,2600,KOSTENIUK Alexandra,2487,X - X,Queen's Gambit Accepted,classical,2020-10-04,Sinquefield Cup,Saint Louis
LAGARDE Maxime,2606,FRESSINET Laurent,2605,X - X,Semi-Slav Defense,classical,2020-06-13,Sinquefield Cup,Saint Louis
TAN Zhongyi,2551,FIROUZJA Alireza,2763,X - X,Queen's Gambit Accepted,classical,2020-12-22,Candidates,Madrid
SAVINA Anastasia,2324,MAMEDYAROV Shakhriyar,2738,1 - 0,Queen's Gambit Accepted,classical,2020-07-28,Tata Steel,Wijk aan Zee
LAGNO Kateryna,2527,ASSAUBAYEVA Bibisara,2488,X - X,French Defense,blitz,2020-03-31,Titled Tuesday,NA
GUICHARD Pauline,2357,FIROUZJA Alireza,2763,0 - 1,Caro-Kann Defense,classical,2020-05-06,Tata Steel,Wijk aan Zee
KASPAROV Garry,2850,CARLSEN Magnus,2831,X - X,French Defense,classical,2020-08-04,World Cup,Baku
DAULYTE-CORNETTE Deimante,2371,VAISHALI Rameshbabu,2490,X - X,Dutch Defense,blitz,2020-03-30,World Blitz Championship,Dubai
PRAGGNANANDHAA R,2737,LE Quang Liem,2739,X - X,English Opening,classical,2020-08-26,Tata Steel,Wijk aan Zee
VACHIER-LAGRAVE Maxime,2737,IGLESIAS Yosha,2296,X - X,Berlin Defense,blitz,2020-07-31,Titled Tuesday,NA
KRAMNIK Vladimir,2810,NAKAMURA Hikaru,2802,1 - 0,Reti Opening,rapid,2020-08-27,Grand Chess Tour Croatia,Zagreb
VAISHALI Rameshbabu,2490,HEJAZIPOUR Mitra,2309,0 - 1,Vienna Game,classical,2020-10-21,World Cup,Baku
KOSTENIUK Alexandra,2487,ANAND Viswanathan,2750,X - X,Vienna Game,classical,2020-01-27,Tata Steel,Wijk aan Zee
LAGARDE Maxime,2606,SEBAG Marie,2448,X - X,Scotch Game,classical,2020-04-28,Candidates,Madrid
DING Liren,2728,ARONIAN Levon,2739,0 - 1,Reti Opening,rapid,2020-11-07,Grand Chess Tour Croatia,Zagreb
SAVINA Anastasia,2324,VAISHALI Rameshbabu,2490,1 - 0,Scotch Game,blitz,2020-11-24,World Blitz Championship,Dubai
NEPOMNIACHTCHI Ian,2755,NAKAMURA Hikaru,2802,X - X,Petrov Defense,classical,2020-08-14,Tata Steel,Wijk aan Zee
NIEMANN Hans Moke,2734,ASSAUBAYEVA Bibisara,2488,1 - 0,Nimzo-Indian Defense,classical,2020-08-18,Candidates,Madrid
DOMINGUEZ PEREZ Leinier,2741,DZAGNIDZE Nana,2518,X - X,Scotch Game,classical,2020-10-06,Candidates,Madrid
NAVROTESCU Andreea,2338,DZAGNIDZE Nana,2518,0 - 1,Italian Game,classical,2020-12-07,Candidates,Madrid
FRESSINET Laurent,2605,KOSTENIUK Alexandra,2487,X - X,Scandinavian Defense,rapid,2020-09-13,Grand Chess Tour Croatia,Zagreb
VAISHALI Rameshbabu,2490,ASSAUBAYEVA Bibisara,2488,1 - 0,Petrov Defense,classical,2020-04-21,Isle of Man Open,Douglas
KOSTENIUK Alexandra,2487,JU Wenjun,2563,X - X,London System,classical,2020-12-09,Sinquefield Cup,Saint Louis
FIROUZJA Alireza,2763,DOMINGUEZ PEREZ Leinier,2741,X - X,Berlin Defense,classical,2020-11-28,Candidates,Madrid
ARONIAN Levon,2739,KASPAROV Garry,2850,X - X,French Defense,classical,2020-02-07,Candidates,Madrid
ZHU Jiner,2514,NAKAMURA Hikaru,2802,0 - 1,French Defense,classical,2020-11-14,Candidates,Madrid
MOUSSARD Jules,2600,DUDA Jan-Krzysztof,2740,X - X,Sicilian Defense,classical,2020-03-25,Tata Steel,Wijk aan Zee
DZAGNIDZE Nana,2518,BACROT Etienne,2653,X - X,Italian Game,classical,2020-04-18,Norway Chess,Stavanger
POLGAR Judith,2732,LAGNO Kateryna,2527,X - X,Italian Game,rapid,2020-02-02,World Rapid Championship,Samarkand
SKRIPCHENKO Almira,2361,GUKESH D,2783,1 - 0,King's Indian Defense,classical,2020-09-01,Tata Steel,Wijk aan Zee
MILLIET Sophie,2366,IGLESIAS Yosha,2296,1 - 0,English Opening,rapid,2020-02-16,Grand Chess Tour Croatia,Zagreb
ARONIAN Levon,2739,SAVINA Anastasia,2324,X - X,Scandinavian Defense,classical,2020-01-23,Norway Chess,Stavanger
ARONIAN Levon,2739,ASSAUBAYEVA Bibisara,2488,X - X,Alekhine Defense,classical,2020-10-25,Isle of Man Open,Douglas
ZHU Jiner,2514,POLGAR Judith,2732,X - X,English Opening,classical,2020-08-21,Candidates,Madrid
FRESSINET Laurent,2605,ABDUSATTOROV Nodirbek,2777,X - X,Nimzo-Indian Defense,classical,2020-12-04,Sinquefield Cup,Saint Louis
TAN Zhongyi,2551,SEBAG Marie,2448,X - X,Semi-Slav Defense,classical,2020-11-17,Tata Steel,Wijk aan Zee
LAGNO Kateryna,2527,VIDIT Santosh Gujrathi,2739,X - X,Sicilian Defense,rapid,2020-03-26,World Rapid Championship,Samarkand
LAGARDE Maxime,2606,LEI Tingjie,2549,1 - 0,French Defense,classical,2020-04-16,Norway Chess,Stavanger
SAVINA Anastasia,2324,SEBAG Marie,2448,X - X,Caro-Kann Defense,classical,2020-03-01,Candidates,Madrid
LEI Tingjie,2549,SEBAG Marie,2448,X - X,Vienna Game,classical,2020-11-24,Sinquefield Cup,Saint Louis
DZAGNIDZE Nana,2518,LAGNO Kateryna,2527,0 - 1,Scandinavian Defense,classical,2020-12-31,Candidates,Madrid
HOU Yifan,2633,DUDA Jan-Krzysztof,2740,0 - 1,Caro-Kann Defense,classical,2020-02-18,Norway Chess,Stavanger
LAGARDE Maxime,2606,JU Wenjun,2563,X - X,Petrov Defense,classical,2020-04-07,Tata Steel,Wijk aan Zee
GIRI Anish,2733,WEI Yi,2753,X - X,Nimzo-Indian Defense,classical,2020-11-19,Isle of Man Open,Douglas
HOU Yifan,2633,KASPAROV Garry,2850,X - X,Scotch Game,classical,2020-03-12,Tata Steel,Wijk aan Zee
DRONAVALLI Harika,2493,DUDA Jan-Krzysztof,2740,X - X,Larsen Opening,classical,2020-03-31,Sinquefield Cup,Saint Louis
WEI Yi,2753,GIRI Anish,2733,0 - 1,Italian Game,classical,2020-02-18,Tata Steel,Wijk aan Zee
SCHIPPKE Manon,2272,NEPOMNIACHTCHI Ian,2755,X - X,King's Indian Defense,rapid,2020-01-31,Grand Chess Tour Croatia,Zagreb
KASPAROV Garry,2850,MOUSSARD Jules,2600,0 - 1,English Opening,rapid,2020-05-28,World Rapid Championship,Samarkand
DZAGNIDZE Nana,2518,CARLSEN Magnus,2831,1 - 0,Larsen Opening,classical,2020-05-08,Tata Steel,Wijk aan Zee
NEPOMNIACHTCHI Ian,2755,DOMINGUEZ PEREZ Leinier,2741,0 - 1,Scandinavian Defense,classical,2020-07-14,Candidates,Madrid
GIRI Anish,2733,LAGARDE Maxime,2606,X - X,Queen's Gambit Accepted,classical,2020-01-25,Isle of Man Open,Douglas
GIRI Anish,2733,SO Wesley,2747,X - X,Alekhine Defense,classical,2020-01-01,Candidates,Madrid
GIRI Anish,2733,DAULYTE-CORNETTE Deimante,2371,X - X,Sicilian Defense,classical,2020-11-05,Norway Chess,Stavanger
DUDA Jan-Krzysztof,2740,POLGAR Judith,2732,1 - 0,Petrov Defense,rapid,2020-07-03,Grand Chess Tour Croatia,Zagreb
NAVROTESCU Andreea,2338,POLGAR Judith,2732,1 - 0,Dutch Defense,classical,2020-05-16,Sinquefield Cup,Saint Louis
DOMINGUEZ PEREZ Leinier,2741,JU Wenjun,2563,1 - 0,Scandinavian Defense,blitz,2020-07-15,World Blitz Championship,Dubai
MUZYCHUK Mariya,2505,JU Wenjun,2563,X - X,Pirc Defense,rapid,2020-02-14,Grand Chess Tour Croatia,Zagreb
LE Quang Liem,2739,ARONIAN Levon,2739,1 - 0,Berlin Defense,classical,2020-02-29,Candidates,Madrid
ABDUSATTOROV Nodirbek,2777,SCHIPPKE Manon,2272,1 - 0,Caro-Kann Defense,blitz,2020-07-25,Titled Tuesday,NA
GUKESH D,2783,GUICHARD Pauline,2357,1 - 0,Alekhine Defense,rapid,2020-04-20,Grand Chess Tour Croatia,Zagreb
NIEMANN Hans Moke,2734,ANAND Viswanathan,2750,0 - 1,Grunfeld Defense,rapid,2020-06-29,Grand Chess Tour Croatia,Zagreb
NAVROTESCU Andreea,2338,FIROUZJA Alireza,2763,0 - 1,French Defense,classical,2020-01-02,Candidates,Madrid
DOMINGUEZ PEREZ Leinier,2741,ANAND Viswanathan,2750,X - X,Catalan Opening,classical,2020-08-02,Sinquefield Cup,Saint Louis
PRAGGNANANDHAA R,2737,KOSTENIUK Alexandra,2487,X - X,Dutch Defense,classical,2020-04-30,Sinquefield Cup,Saint Louis
KASPAROV Garry,2850,DAULYTE-CORNETTE Deimante,2371,0 - 1,Pirc Defense,classical,2020-10-16,Candidates,Madrid
KONERU Humpy,2530,ARONIAN Levon,2739,1 - 0,Reti Opening,classical,2020-09-23,Candidates,Madrid
DING Liren,2728,ZHU Jiner,2514,1 - 0,Queen's Gambit Accepted,classical,2020-05-26,Sinquefield Cup,Saint Louis
MUZYCHUK Anna,2515,SO Wesley,2747,X - X,Caro-Kann Defense,classical,2020-12-05,Candidates,Madrid
ASSAUBAYEVA Bibisara,2488,GIRI Anish,2733,0 - 1,Catalan Opening,classical,2020-03-19,Sinquefield Cup,Saint Louis
SAVINA Anastasia,2324,ZHU Jiner,2514,X - X,Dutch Defense,rapid,2020-01-04,Grand Chess Tour Croatia,Zagreb
SCHIPPKE Manon,2272,VIDIT Santosh Gujrathi,2739,1 - 0,Caro-Kann Defense,classical,2020-03-08,Tata Steel,Wijk aan Zee
ERIGAISI Arjun,2799,JU Wenjun,2563,1 - 0,Sicilian Defense,classical,2020-01-04,Sinquefield Cup,Saint Louis
TAN Zhongyi,2551,MUZYCHUK Anna,2515,X - X,English Opening,classical,2020-07-03,Sinquefield Cup,Saint Louis
KRAMNIK Vladimir,2810,TAN Zhongyi,2551,X - X,Nimzo-Indian Defense,classical,2020-09-23,Sinquefield Cup,Saint Louis
VACHIER-LAGRAVE Maxime,2737,DOMINGUEZ PEREZ Leinier,2741,0 - 1,Caro-Kann Defense,classical,2020-04-25,World Cup,Baku
GORYACHKINA Aleksandra,2528,SHUVALOVA Polina,2495,1 - 0,Catalan Opening,classical,2020-11-02,Candidates,Madrid
KEYMER Vincent,2733,SEBAG Marie,2448,X - X,Vienna Game,classical,2020-11-14,Tata Steel,Wijk aan Zee
ANAND Viswanathan,2750,ARONIAN Levon,2739,X - X,King's Indian Defense,classical,2020-04-24,Sinquefield Cup,Saint Louis
VAISHALI Rameshbabu,2490,GUKESH D,2783,X - X,English Opening,rapid,2020-11-07,Grand Chess Tour Croatia,Zagreb
LEI Tingjie,2549,MOUSSARD Jules,2600,X - X,Grunfeld Defense,classical,2020-04-04,Sinquefield Cup,Saint Louis
KRAMNIK Vladimir,2810,WEI Yi,2753,X - X,Berlin Defense,rapid,2020-07-14,World Rapid Championship,Samarkand
LE Quang Liem,2739,KRAMNIK Vladimir,2810,1 - 0,English Opening,classical,2020-09-04,World Cup,Baku
FIROUZJA Alireza,2763,SEBAG Marie,2448,X - X,Alekhine Defense,rapid,2020-06-08,Grand Chess Tour Croatia,Zagreb
LEI Tingjie,2549,PRAGGNANANDHAA R,2737,X - X,Scotch Game,blitz,2020-07-03,World Blitz Championship,Dubai
VACHIER-LAGRAVE Maxime,2737,ANAND Viswanathan,2750,0 - 1,Nimzo-Indian Defense,classical,2020-07-07,Sinquefield Cup,Saint Louis
SO Wesley,2747,DING Liren,2728,1 - 0,French Defense,blitz,2020-07-12,World Blitz Championship,Dubai
LAGNO Kateryna,2527,NIEMANN Hans Moke,2734,X - X,Scotch Game,classical,2020-12-23,Candidates,Madrid
ARONIAN Levon,2739,PRAGGNANANDHAA R,2737,X - X,Vienna Game,classical,2020-08-14,Candidates,Madrid
ZHU Jiner,2514,GUKESH D,2783,0 - 1,French Defense,rapid,2020-10-02,Grand Chess Tour Croatia,Zagreb
DOMINGUEZ PEREZ Leinier,2741,FRESSINET Laurent,2605,X - X,Nimzo-Indian Defense,classical,2020-04-24,Sinquefield Cup,Saint Louis
DAULYTE-CORNETTE Deimante,2371,HEJAZIPOUR Mitra,2309,X - X,Dutch Defense,classical,2020-12-14,World Cup,Baku
DAULYTE-CORNETTE Deimante,2371,SO Wesley,2747,X - X,Ruy Lopez,classical,2020-05-22,Candidates,Madrid
ERIGAISI Arjun,2799,NEPOMNIACHTCHI Ian,2755,X - X,Petrov Defense,classical,2020-03-02,Tata Steel,Wijk aan Zee
DOMINGUEZ PEREZ Leinier,2741,ABDUSATTOROV Nodirbek,2777,1 - 0,Nimzo-Indian Defense,classical,2020-12-28,Sinquefield Cup,Saint Louis
MOUSSARD Jules,2600,SEBAG Marie,2448,0 - 1,Berlin Defense,blitz,2020-08-05,Titled Tuesday,NA
POLGAR Judith,2732,DING Liren,2728,0 - 1,Ruy Lopez,classical,2020-03-09,Isle of Man Open,Douglas
SAVINA Anastasia,2324,PRAGGNANANDHAA R,2737,1 - 0,Italian Game,rapid,2020-03-16,Grand Chess Tour Croatia,Zagreb
KOSTENIUK Alexandra,2487,DAULYTE-CORNETTE Deimante,2371,1 - 0,Berlin Defense,classical,2020-05-07,Candidates,Madrid
DRONAVALLI Harika,2493,CARUANA Fabiano,2805,X - X,French Defense,classical,2020-12-11,World Cup,Baku
SKRIPCHENKO Almira,2361,GUKESH D,2783,X - X,Nimzo-Indian Defense,classical,2020-11-03,Candidates,Madrid
JU Wenjun,2563,MUZYCHUK Mariya,2505,X - X,Scandinavian Defense,rapid,2020-07-05,Grand Chess Tour Croatia,Zagreb
KONERU Humpy,2530,VACHIER-LAGRAVE Maxime,2737,X - X,Grunfeld Defense,blitz,2020-01-03,World Blitz Championship,Dubai
SO Wesley,2747,KEYMER Vincent,2733,X - X,Pirc Defense,classical,2020-08-24,Norway Chess,Stavanger
GUICHARD Pauline,2357,KOSTENIUK Alexandra,2487,0 - 1,London System,rapid,2020-06-07,Grand Chess Tour Croatia,Zagreb
